time,x,y,event,button
2025-05-28 19:40:49.724229,560.5196533203125,662.0442504882812,move,
2025-05-28 19:40:49.724444,560.7481689453125,662.2728271484375,move,
2025-05-28 19:40:49.739785,560.7481689453125,662.5014038085938,move,
2025-05-28 19:40:49.739922,560.976806640625,662.72998046875,move,
2025-05-28 19:40:49.754424,560.976806640625,662.9585571289062,move,
2025-05-28 19:40:49.754637,561.205322265625,662.9585571289062,move,
2025-05-28 19:40:49.769380,561.4339599609375,663.1871337890625,move,
2025-05-28 19:40:49.784528,561.6624755859375,663.1871337890625,move,
2025-05-28 19:40:49.830748,561.6624755859375,663.4157104492188,move,
2025-05-28 19:40:49.830926,561.6624755859375,663.644287109375,move,
2025-05-28 19:40:49.844928,561.6624755859375,663.8728637695312,move,
